time;nof_reports;rsrp;nof_ue;dl_brate;ul_brate
0;0;0.0;0.0
1;0;0.0;0.0
2;0;0.0;0.0
3;0;0.0;0.0
4;0;0.0;0.0
5;0;0.0;0.0
6;0;0.0;0.0
7;0;0.0;0.0
8;0;0.0;0.0
9;13;-71;1;2544.083984;38481.269531
10;2.0;-74;1;512;22258.626953
11;0.0;-76;1;0.0;12793.650391
12;0.0;-76;1;0.0;12793.650391
13;0.0;-76;1;0.0;12793.573242
14;0.0;-74;1;0.0;12793.535156
15;0.0;-73;1;0.0;12793.675781
16;0.0;-73;1;0.0;12793.458008
17;0.0;-74;1;0.0;8529.373047
18;0.0;-74;1;0.0;12793.751953
19;0.0;-74;1;0.0;12793.675781
20;0.0;-74;1;0.0;12793.675781
21;0.0;-74;1;0.0;12793.868164
22;0.0;-74;1;0.0;12793.931641
23;0.0;-74;1;0.0;12793.599609
24;0.0;-74;1;0.0;12793.751953
25;0.0;-74;1;0.0;12793.522461
26;0.0;-73;1;0.0;12793.765625
27;0.0;-73;1;0.0;12793.356445
28;0.0;-73;1;0.0;12793.625000
29;0.0;-72;1;0.0;12793.535156
30;0.0;-72;1;0.0;12794.200195
31;0.0;-74;1;0.0;12793.751953
32;0.0;-75;1;0.0;12794.340820
33;0.0;-75;1;0.0;12793.458008
34;0.0;-75;1;0.0;8528.920898
35;0.0;-76;1;0.0;12793.509766
36;0.0;-75;1;0.0;12793.854492
37;0.0;-75;1;0.0;12793.509766
38;0.0;-76;1;0.0;12793.369141
39;0.0;-75;1;0.0;12793.407227
40;0.0;-75;1;0.0;12793.497070
41;0.0;-75;1;0.0;12793.394531
42;0.0;-74;1;0.0;12793.713867
43;0.0;-76;1;0.0;12793.560547
44;0.0;-75;1;0.0;12793.176758
45;0.0;-75;1;0.0;12793.446289
46;0.0;-75;1;0.0;17057.619141
47;1.0;-74;1;712;13569.424805
48;1.0;-73;1;712;9305.674805
49;1.0;-74;1;712;13570.117188
50;1.0;-72;1;712;13570.021484
51;1.0;-71;1;712;13568.881836
52;1.0;-72;1;712;13570.401367
53;1.0;-72;1;712;13571.256836
54;1.0;-71;1;712;13571.718750
55;1.0;-72;1;744;13570.184570
56;1.0;-73;1;712;13569.858398
57;1.0;-72;1;712;13569.832031
58;1.0;-73;1;744;13569.465820
59;1.0;-72;1;744;13569.452148
60;1.0;-72;1;744;13568.922852
61;1.0;-72;1;744;13570.442383
62;1.0;-72;1;744;13570.021484
63;1.0;-72;1;744;13570.306641
64;1.0;-72;1;744;13570.428711
65;1.0;-73;1;744;13570.130859
66;1.0;-72;1;744;13570.130859
67;1.0;-72;1;744;13569.315430
68;1.0;-72;1;712;13570.062500
69;1.0;-72;1;744;13568.828125
70;1.0;-72;1;744;13570.903320
71;1.0;-72;1;712;13570.199219
72;1.0;-73;1;712;13569.058594
73;1.0;-73;1;712;13569.302734
74;1.0;-73;1;744;13569.493164
75;1.0;-73;1;744;13570.360352
76;1.0;-73;1;744;13570.103516
77;1.0;-74;1;744;13569.804688
78;1.0;-73;1;744;13569.858398
79;1.0;-73;1;744;13569.709961
80;1.0;-75;1;744;13570.469727
81;1.0;-75;1;712;13570.170898
82;1.0;-75;1;744;13570.130859
83;1.0;-74;1;744;13569.980469
84;1.0;-74;1;744;13569.668945