time;nof_samples;rssi;rsrp;power;nof_ue;dl_brate;ul_brate
0;0;0.0;0.0
1;0;0.0;0.0
2;0;0.0;0.0
3;17;-46;-nan;-16.1666;1;2896.118652;47665.953125
4;1.0;-46;-65;-19.0136;1;712;13568.515625
5;1.0;-47;-67;-19.0504;1;712;13568.448242
6;1.0;-45;-72;-19.073;1;744;13569.465820
7;1.0;-45;-74;-19.4868;1;744;13568.651367
8;1.0;-45;-69;-19.9963;1;744;13569.519531
9;1.0;-45;-68;-19.43;1;744;13571.351562
10;1.0;-45;-67;-18.9303;1;744;13570.333984
11;1.0;-47;-70;-20.276;1;744;13569.914062
12;1.0;-48;-70;-19.5201;1;712;13569.289062
13;1.0;-52;-74;-21.0695;1;712;13570.184570
14;1.0;-47;-75;-20.9546;1;712;13569.397461
15;1.0;-45;-68;-19.5563;1;744;13569.818359
16;1.0;-45;-68;-19.7208;1;744;13569.289062
17;1.0;-44;-67;-19.4318;1;744;13569.275391
18;1.0;-45;-68;-19.906;1;744;13569.682617
19;1.0;-47;-69;-19.5146;1;744;13570.252930
20;1.0;-48;-70;-19.6639;1;744;13569.072266
21;1.0;-46;-72;-19.6755;1;744;13569.139648
22;1.0;-45;-71;-19.6262;1;744;13570.062500
23;1.0;-45;-69;-19.8843;1;744;13569.641602
24;1.0;-45;-69;-19.9105;1;744;13569.885742
25;1.0;-45;-68;-19.8117;1;744;13569.873047
26;1.0;-46;-69;-19.8103;1;744;13569.967773
27;1.0;-46;-69;-19.8005;1;744;13569.371094
28;1.0;-46;-69;-19.7265;1;744;13569.383789
29;1.0;-46;-73;-19.7708;1;744;13569.560547
30;1.0;-45;-72;-19.7047;1;744;13568.909180
31;1.0;-45;-68;-19.7243;1;744;13569.600586
32;1.0;-45;-68;-19.7372;1;744;13569.139648
33;1.0;-45;-68;-19.4974;1;744;13569.954102
34;1.0;-46;-69;-19.7723;1;744;13570.021484
35;1.0;-48;-70;-19.4329;1;744;13569.980469
36;1.0;-47;-71;-19.4622;1;744;13570.265625
37;1.0;-45;-73;-19.6009;1;744;13569.980469
38;1.0;-45;-69;-19.7937;1;744;13569.777344
39;1.0;-44;-68;-19.5569;1;744;13570.158203
40;1.0;-45;-68;-19.6384;1;744;13569.995117
41;1.0;-45;-68;-19.636;1;744;13570.523438
42;1.0;-46;-69;-19.9086;1;744;13569.763672
43;1.0;-48;-70;-19.88;1;744;13569.980469
44;1.0;-50;-71;-19.7579;1;744;13568.813477
45;1.0;-46;-74;-20.0341;1;744;13569.777344
46;1.0;-45;-69;-19.7922;1;744;13569.656250
47;1.0;-45;-68;-19.565;1;744;13569.682617
48;1.0;-45;-68;-19.8217;1;712;13569.235352
49;1.0;-45;-68;-19.45;1;744;13569.615234
50;1.0;-47;-69;-19.6884;1;744;13569.954102
51;1.0;-48;-70;-19.6892;1;744;13569.696289
52;1.0;-47;-73;-20.0885;1;744;13569.858398
53;1.0;-46;-73;-20.779;1;712;13568.991211
54;1.0;-45;-69;-20.1799;1;744;13569.926758
55;1.0;-45;-68;-19.5106;1;712;13569.208008
56;1.0;-45;-68;-19.9504;1;712;13569.615234
57;1.0;-46;-69;-20.1935;1;712;13569.125977
58;1.0;-47;-69;-19.6163;1;712;13569.873047
59;1.0;-49;-70;-19.5233;1;712;13569.248047
60;1.0;-45;-71;-19.325;1;712;13569.248047
61;1.0;-44;-68;-19.3203;1;744;13569.668945
62;1.0;-45;-68;-19.7553;1;744;13569.153320
63;1.0;-45;-68;-19.6743;1;744;13571.040039
64;1.0;-46;-69;-19.9164;1;712;13569.641602
65;1.0;-47;-70;-20.0623;1;712;13570.401367
66;1.0;-48;-71;-20.0735;1;744;13570.062500
67;1.0;-47;-72;-20.0439;1;712;13569.600586
68;1.0;-46;-74;-20.0632;1;744;13569.656250
69;1.0;-46;-69;-20.0847;1;712;13569.777344
70;1.0;-45;-69;-20.2072;1;744;13570.021484
71;1.0;-46;-69;-20.2493;1;712;13568.854492
72;1.0;-46;-69;-20.0709;1;712;13569.750977
73;1.0;-47;-69;-20.0475;1;712;13569.899414
74;1.0;-48;-70;-19.9441;1;712;13569.342773
75;1.0;-47;-71;-19.7859;1;712;13570.808594
76;1.0;-45;-71;-19.6968;1;712;13569.411133
77;1.0;-44;-68;-19.348;1;712;13570.008789
78;1.0;-44;-67;-19.3776;1;744;13569.546875
79;1.0;-45;-68;-19.5985;1;712;13569.791016
80;1.0;-46;-69;-19.5176;1;744;13570.293945
81;1.0;-47;-69;-19.4984;1;744;13569.519531
82;1.0;-47;-69;-19.4316;1;744;13570.199219
83;1.0;-51;-72;-19.4211;1;744;13570.021484
84;1.0;-48;-73;-21.2716;1;712;8529.160156
85;1.0;-45;-68;-19.61;1;744;13569.804688
86;1.0;-45;-68;-19.597;1;744;13569.832031
87;1.0;-45;-68;-19.5247;1;712;13569.967773
88;1.0;-46;-68;-19.2132;1;712;13569.628906
89;1.0;-47;-70;-19.3921;1;712;13569.465820
90;1.0;-49;-71;-19.4794;1;712;13569.696289
91;1.0;-46;-71;-19.4669;1;712;13569.574219
92;1.0;-45;-72;-19.3691;1;744;13569.899414
93;1.0;-45;-68;-19.6371;1;744;13570.497070
94;1.0;-45;-68;-19.3964;1;744;13569.587891
95;1.0;-45;-68;-19.2771;1;744;13570.170898
96;1.0;-46;-69;-19.1516;1;744;13570.727539
97;1.0;-48;-70;-19.2137;1;712;13569.628906
98;1.0;-46;-72;-19.4285;1;712;13571.040039
99;1.0;-44;-69;-19.4151;1;712;13569.940430
100;1.0;-44;-68;-19.2822;1;744;13569.113281
101;1.0;-44;-67;-19.1866;1;712;13569.546875
102;1.0;-45;-68;-19.5239;1;712;13570.347656
103;1.0;-45;-69;-19.6067;1;712;17834.318359
104;1.0;-47;-69;-19.2694;1;744;13569.180664
105;1.0;-49;-70;-19.5568;1;712;13569.261719
106;1.0;-46;-73;-19.7567;1;712;13570.036133
107;1.0;-45;-69;-19.7567;1;712;13570.375000
108;1.0;-45;-68;-19.601;1;712;13570.701172
109;1.0;-45;-68;-19.6629;1;712;13569.832031
110;1.0;-44;-67;-19.624;1;712;13570.062500
111;1.0;-46;-69;-19.6977;1;712;13569.914062
112;1.0;-49;-71;-19.7418;1;744;13569.628906
113;1.0;-46;-72;-19.7756;1;712;13569.709961
114;1.0;-45;-73;-19.8121;1;712;13569.478516
115;1.0;-45;-72;-19.8413;1;712;13570.130859
116;1.0;-44;-68;-19.4988;1;712;13570.360352
117;1.0;-44;-68;-19.4725;1;744;13569.371094
118;1.0;-46;-69;-19.9601;1;712;13570.550781
119;1.0;-47;-70;-20.1149;1;712;13570.239258
120;1.0;-48;-72;-20.4617;1;712;13570.036133
121;1.0;-49;-73;-20.1278;1;712;13570.089844
122;1.0;-46;-73;-20.26;1;712;13569.926758
123;1.0;-45;-72;-20.0546;1;712;13570.823242
124;1.0;-45;-69;-19.9992;1;744;13570.252930
125;1.0;-45;-68;-19.9723;1;744;13569.804688
126;1.0;-46;-69;-20.1168;1;744;13569.940430
127;1.0;-46;-69;-20.526;1;744;13569.899414
128;1.0;-47;-71;-19.8962;1;712;13569.873047
129;1.0;-47;-71;-19.8477;1;712;13570.742188
130;1.0;-45;-72;-19.7706;1;744;13569.248047
131;1.0;-45;-74;-19.9959;1;712;13569.804688
132;1.0;-45;-69;-20.135;1;712;13569.098633
133;1.0;-46;-69;-20.0597;1;712;13569.302734
134;1.0;-46;-68;-19.7616;1;744;13569.058594
135;1.0;-47;-70;-19.7838;1;744;13569.587891
136;1.0;-49;-71;-19.8883;1;744;13569.452148
137;1.0;-45;-71;-19.8428;1;744;13569.845703
138;1.0;-47;-73;-19.9255;1;744;13569.072266
139;1.0;-44;-67;-19.2573;1;744;13569.845703
140;1.0;-45;-68;-19.6357;1;712;13570.062500
141;1.0;-45;-68;-19.7827;1;744;13569.940430
142;1.0;-46;-69;-19.9576;1;744;13568.963867
143;1.0;-48;-70;-19.8481;1;744;13569.261719
144;1.0;-49;-71;-19.6261;1;744;13569.505859
145;1.0;-46;-72;-19.6731;1;744;13568.881836
146;1.0;-45;-68;-19.5578;1;744;13569.356445
147;1.0;-45;-69;-19.9476;1;744;13569.315430
148;1.0;-45;-69;-20.0033;1;744;13569.777344
149;1.0;-46;-69;-20.107;1;712;13570.483398
150;1.0;-47;-69;-19.9336;1;712;13570.211914
151;1.0;-48;-70;-19.8367;1;712;13570.158203
152;1.0;-46;-71;-19.5215;1;712;13569.574219
153;1.0;-45;-71;-19.4098;1;712;13569.505859
154;1.0;-44;-67;-19.1535;1;744;13568.909180
155;1.0;-44;-68;-19.4502;1;744;13570.089844
156;1.0;-45;-68;-19.7491;1;712;13569.342773
157;1.0;-46;-69;-19.6474;1;744;13569.342773
158;1.0;-47;-70;-19.8117;1;744;13570.347656
159;1.0;-47;-71;-19.7229;1;712;13569.995117
160;1.0;-46;-72;-19.6244;1;712;13569.220703
161;1.0;-45;-69;-19.6843;1;712;13569.668945
162;1.0;-44;-68;-19.2568;1;712;13570.320312
163;1.0;-45;-68;-19.641;1;712;13569.560547
164;1.0;-45;-68;-19.5607;1;712;13569.615234
165;1.0;-45;-68;-19.4475;1;744;13569.533203
166;1.0;-48;-70;-19.8775;1;712;13569.723633
167;1.0;-47;-72;-19.6422;1;712;13570.062500
168;1.0;-46;-71;-19.3025;1;712;13569.737305
169;1.0;-45;-68;-19.4287;1;712;13570.036133
170;1.0;-44;-68;-19.4983;1;712;13569.804688
171;1.0;-45;-68;-19.7938;1;712;13569.723633
172;1.0;-45;-68;-19.4172;1;744;13570.170898
173;1.0;-47;-70;-20.0233;1;712;13570.225586
174;1.0;-49;-72;-20.8346;1;712;13569.899414
175;1.0;-47;-72;-20.37;1;712;13569.845703
176;1.0;-49;-76;-21.3728;1;712;13569.315430
177;1.0;-46;-71;-21.1751;1;712;13569.330078
178;1.0;-46;-70;-21.0116;1;712;13570.184570
179;1.0;-46;-69;-20.3487;1;744;13569.777344
180;1.0;-48;-68;-20.1314;1;712;13569.804688
181;1.0;-47;-69;-20.0152;1;712;13569.914062
182;1.0;-50;-71;-19.9799;1;712;9305.386719
183;1.0;-48;-74;-21.2154;1;712;13569.315430
184;1.0;-46;-71;-20.502;1;744;13570.021484
185;1.0;-45;-68;-20.0179;1;712;13569.546875
186;1.0;-45;-68;-20.1466;1;712;13569.248047
187;1.0;-46;-69;-20.185;1;744;13569.791016
188;1.0;-46;-69;-20.4072;1;744;13569.873047
189;1.0;-52;-81;-30.6145;1;712;9304.735352
190;1.0;-50;-69;-20.8466;1;712;13571.868164
191;1.0;-47;-70;-20.1862;1;712;13570.388672
192;1.0;-49;-76;-25.8869;1;712;9304.986328
193;1.0;-45;-69;-20.1031;1;712;13570.158203
194;1.0;-46;-68;-20.4728;1;712;13570.469727
195;1.0;-46;-68;-20.3806;1;744;13569.560547
196;1.0;-47;-70;-21.2875;1;712;13569.302734
197;1.0;-49;-71;-21.195;1;712;13570.579102
198;1.0;-49;-73;-21.5145;1;744;13569.995117
199;1.0;-49;-73;-21.5644;1;744;13570.333984
200;1.0;-46;-69;-20.5051;1;712;13570.293945
201;1.0;-46;-69;-20.8481;1;712;13570.280273
202;1.0;-47;-72;-22.1494;1;712;13569.003906
203;1.0;-47;-70;-21.4928;1;712;13572.017578
204;1.0;-48;-71;-21.2808;1;712;13569.682617
205;1.0;-49;-70;-20.6494;1;712;13569.804688
206;1.0;-47;-71;-20.1642;1;712;13569.737305
207;1.0;-48;-73;-21.2769;1;712;13569.858398
208;1.0;-46;-74;-20.8985;1;712;13569.954102
209;1.0;-46;-70;-21.2877;1;712;13568.828125
#eof
